timestamp, q0, q1, q2, q3
1540674787824, 0.866272, -0.025391, 0.012634, 0.498718
1540674787825, 0.866272, -0.025391, 0.012878, 0.498718
1540674787827, 0.866272, -0.025391, 0.012878, 0.498657
1540674787882, 0.866211, -0.025391, 0.012878, 0.498657
1540674787883, 0.866211, -0.024658, 0.012878, 0.498657
1540674787884, 0.866211, -0.024658, 0.013611, 0.498657
1540674787885, 0.866211, -0.024658, 0.013611, 0.498779
1540674787940, 0.866150, -0.024658, 0.013611, 0.498779
1540674787941, 0.866150, -0.024658, 0.013611, 0.498779
1540674787942, 0.866150, -0.024658, 0.014282, 0.498779
1540674787942, 0.866150, -0.024658, 0.014282, 0.498962
1540674787970, 0.866211, -0.024658, 0.014282, 0.498962
1540674787970, 0.866211, -0.024231, 0.014282, 0.498962
1540674787971, 0.866211, -0.024231, 0.014221, 0.498962
1540674787972, 0.866211, -0.024231, 0.014221, 0.498779
1540674788030, 0.866211, -0.024231, 0.014221, 0.498779
1540674788030, 0.866211, -0.024597, 0.014221, 0.498779
1540674788031, 0.866211, -0.024597, 0.014038, 0.498779
1540674788032, 0.866211, -0.024597, 0.014038, 0.498779
1540674788091, 0.866272, -0.024597, 0.014038, 0.498779
1540674788091, 0.866272, -0.024170, 0.014038, 0.498779
1540674788092, 0.866272, -0.024170, 0.014832, 0.498779
1540674788092, 0.866272, -0.024170, 0.014832, 0.498657
1540674788151, 0.866394, -0.024170, 0.014832, 0.498657
1540674788152, 0.866394, -0.024414, 0.014832, 0.498657
1540674788152, 0.866394, -0.024414, 0.014587, 0.498657
1540674788153, 0.866394, -0.024414, 0.014587, 0.498474
1540674788224, 0.866455, -0.024414, 0.014587, 0.498474
1540674788224, 0.866455, -0.025208, 0.014587, 0.498474
1540674788224, 0.866455, -0.025208, 0.014343, 0.498474
1540674788225, 0.866455, -0.025208, 0.014343, 0.498291
1540674788270, 0.866089, -0.025208, 0.014343, 0.498291
1540674788271, 0.866089, -0.025269, 0.014343, 0.498291
1540674788272, 0.866089, -0.025269, 0.012817, 0.498291
